年月日時,気温(℃),現地気圧(hPa),相対湿度(％),風速(m/s),雲量(10分比),降水量(mm)
2022/6/10 12:00,23,1013.8,65,3.4,10-,0
2022/6/10 13:00,24.2,1013.4,64,2.8,,0
2022/6/10 14:00,24.4,1012.9,63,3.9,,0
2022/6/10 15:00,23.8,1012.8,67,2.8,10-,0
2022/6/10 16:00,24.1,1012.8,66,2.2,,0
2022/6/10 17:00,23.8,1013.2,67,2.8,,0
2022/6/10 18:00,23.2,1013.6,67,2.9,9,0
2022/6/10 19:00,22.3,1014.1,73,2.2,,0
2022/6/10 20:00,22.1,1014.2,75,3.7,,0
2022/6/10 21:00,21.4,1015,81,3.7,7,0
2022/6/10 22:00,21.1,1014.9,81,2.6,,0
2022/6/10 23:00,20.9,1014.8,82,3.3,,0
2022/6/11 0:00,20.9,1014.6,84,3,,0
2022/6/11 1:00,20.6,1014.2,86,3.5,,0
2022/6/11 2:00,20.5,1013.8,86,1.8,,0
2022/6/11 3:00,20.5,1013.6,86,2.6,10-,0
2022/6/11 4:00,20.4,1013.9,88,2.2,,0
2022/6/11 5:00,20.3,1013.8,89,2.5,,0
2022/6/11 6:00,20.9,1014.2,88,1.5,10,0
2022/6/11 7:00,21.3,1014.5,84,2.1,,0
2022/6/11 8:00,22.6,1014.3,81,1.9,,0
2022/6/11 9:00,22.8,1014,74,2,10,0
2022/6/11 10:00,23.4,1013.2,73,2.3,,0
2022/6/11 11:00,23.5,1012.7,73,3,,0
2022/6/11 12:00,24.3,1012.6,65,3.3,10-,0
2022/6/11 13:00,24.5,1011.8,69,3.3,,0
2022/6/11 14:00,23.8,1011.3,71,2.7,,0
2022/6/11 15:00,23.5,1011.1,71,4,10,0
2022/6/11 16:00,22.9,1010.3,69,4.7,,0
2022/6/11 17:00,22.6,1009.7,62,4.4,,0
2022/6/11 18:00,21.9,1009.7,73,2.4,10,0
2022/6/11 19:00,21.7,1009.7,74,3.1,,0
2022/6/11 20:00,21.2,1009.5,82,3.5,,0
2022/6/11 21:00,21.3,1009,86,3.4,10,0
2022/6/11 22:00,20.8,1008.8,92,2.1,,0
2022/6/11 23:00,19.8,1007.7,92,3.5,,0.5
2022/6/12 0:00,19.4,1007,96,1.1,,0
2022/6/12 1:00,19.1,1005.8,98,2,,0
2022/6/12 2:00,18.3,1005.4,92,1.5,,0.5
2022/6/12 3:00,18.9,1004.4,97,2.5,10,0
2022/6/12 4:00,18.2,1004.4,93,1.9,,0
2022/6/12 5:00,18.3,1004,93,2.1,,0
2022/6/12 6:00,19.1,1004.3,94,1.8,10,0
2022/6/12 7:00,19.8,1004.4,88,2.4,,0
2022/6/12 8:00,20.8,1004.1,84,2.1,,0
2022/6/12 9:00,22.4,1004,80,2.3,10-,0
2022/6/12 10:00,23.7,1003.7,68,3.3,,0
2022/6/12 11:00,24.5,1003.6,62,2.9,,0
2022/6/12 12:00,25.1,1003.3,58,3.7,10-,0
2022/6/12 13:00,24.9,1003,58,2.8,,0
2022/6/12 14:00,22.6,1003.6,72,3.6,,0
2022/6/12 15:00,23.5,1003.7,67,2.2,8,0
2022/6/12 16:00,24.1,1003.7,64,3.3,,0
2022/6/12 17:00,23.4,1004.1,70,2.3,,0
2022/6/12 18:00,22.1,1004.6,79,2.4,3,0
2022/6/12 19:00,20.9,1005.6,85,2,,0
2022/6/12 20:00,21.7,1006.9,51,3.9,,0
2022/6/12 21:00,20.6,1007.6,49,2.4,0,0
2022/6/12 22:00,20.7,1007.8,46,6.1,,0
2022/6/12 23:00,20.4,1007.8,46,5.1,,0
2022/6/13 0:00,20.3,1008,44,4.5,,0
2022/6/13 1:00,19.7,1007.8,46,1.1,,0
2022/6/13 2:00,18,1007.6,52,1,,0
2022/6/13 3:00,17.9,1007.5,52,2,6,0
2022/6/13 4:00,17,1008,55,2.2,,0
2022/6/13 5:00,18.3,1008.5,53,4.1,,0
2022/6/13 6:00,18.9,1008.9,55,1.8,10-,0
2022/6/13 7:00,21.3,1009.7,45,2.9,,0
2022/6/13 8:00,23.1,1009.8,42,3.1,,0
2022/6/13 9:00,22.8,1009.4,41,2.2,10-,0
2022/6/13 10:00,23.8,1009.9,39,4,,0
2022/6/13 11:00,26.1,1009.8,43,3.5,,0
2022/6/13 12:00,24.9,1009.8,43,4,6,0
2022/6/13 13:00,26.3,1009.8,44,4.8,,0
2022/6/13 14:00,24.7,1010,52,4.9,,0
2022/6/13 15:00,23.9,1010,54,4.9,10,0
2022/6/13 16:00,23,1010.4,59,4.5,,0
2022/6/13 17:00,21.4,1011,62,4.4,,0
2022/6/13 18:00,20.9,1011.7,60,3.7,10,0
2022/6/13 19:00,20.3,1012.5,61,4.2,,0
2022/6/13 20:00,19.8,1013.3,61,3.8,,0
2022/6/13 21:00,19.6,1014.2,54,4.4,10,0
2022/6/13 22:00,19.3,1014.1,58,1.9,,0
2022/6/13 23:00,18.9,1013.9,62,2.4,,0
2022/6/14 0:00,18.5,1014.3,68,3.9,,0
2022/6/14 1:00,18.4,1014.8,72,2.4,,0
2022/6/14 2:00,18.3,1014.6,76,2.9,,0
2022/6/14 3:00,17.7,1014.4,79,3.2,10,0
2022/6/14 4:00,17.3,1014.8,80,3.4,,0
2022/6/14 5:00,17.1,1015,80,3.7,,0
2022/6/14 6:00,17.1,1015.3,80,2.9,10,0
2022/6/14 7:00,17.4,1015.8,78,2.4,,0
2022/6/14 8:00,17.9,1015.8,79,1.9,,0
2022/6/14 9:00,17.7,1016.1,78,3.6,10,0
2022/6/14 10:00,17.8,1016,79,3.9,,0
2022/6/14 11:00,17.8,1015.9,76,5.1,,0
2022/6/14 12:00,18,1015.8,77,3.2,10,0
2022/6/14 13:00,17.6,1015.6,79,2.5,,0
2022/6/14 14:00,18.3,1015,75,3.2,,0
2022/6/14 15:00,18,1015.2,77,3.1,10,0
2022/6/14 16:00,17.9,1015.2,75,2.9,,0
2022/6/14 17:00,17.7,1015.3,74,4.3,,0
2022/6/14 18:00,17.2,1015.2,78,3.7,10,0
2022/6/14 19:00,16.7,1015,83,3.8,,0
2022/6/14 20:00,16.6,1015.4,86,3.2,,0
2022/6/14 21:00,16.5,1015.9,86,2.9,10,0
2022/6/14 22:00,15.9,1015.5,91,2.4,,0
2022/6/14 23:00,15.5,1014.9,94,2,,0.5
2022/6/15 0:00,15.4,1014.9,95,2.1,,0
2022/6/15 1:00,15.2,1014.5,95,2.1,,0.5
2022/6/15 2:00,15.2,1014,96,1.6,,0
2022/6/15 3:00,15.3,1014,96,1.8,10,0
2022/6/15 4:00,15.4,1014.3,96,1.4,,0
2022/6/15 5:00,15.3,1014,98,1.2,,0.5
2022/6/15 6:00,15.4,1014.1,99,1,10,1
2022/6/15 7:00,16,1014.3,99,1.3,,0.5
2022/6/15 8:00,16.2,1014.1,97,2.2,,0
2022/6/15 9:00,17.1,1013.7,88,2.4,10,0
2022/6/15 10:00,17,1013.3,89,1.7,,0
2022/6/15 11:00,17.1,1012.4,94,0.9,,0
2022/6/15 12:00,17.3,1011.7,96,1.8,10,0
2022/6/15 13:00,17.8,1011,96,2.2,,0.5
2022/6/15 14:00,18.1,1010.7,95,1.5,,0
2022/6/15 15:00,18.1,1009.9,93,2,10,0
2022/6/15 16:00,17.7,1009.2,97,1.9,,0
2022/6/15 17:00,17.6,1009.1,98,1.7,,0
2022/6/15 18:00,17.4,1009.6,98,2.3,10,0
2022/6/15 19:00,17.6,1009.2,95,1.4,,0
2022/6/15 20:00,17.8,1008.9,93,2.1,,0
2022/6/15 21:00,17.7,1009,93,1.4,10,0
2022/6/15 22:00,17.3,1008.7,96,0.7,,0
2022/6/15 23:00,17.5,1008.3,94,0.8,,0
2022/6/16 0:00,17.7,1007.7,92,0.8,,0
2022/6/16 1:00,17.8,1007.4,92,1.5,,0
2022/6/16 2:00,17.8,1007.1,91,1.3,,0
2022/6/16 3:00,17.6,1007.3,94,0.9,10,0
2022/6/16 4:00,17.4,1007.1,94,0.8,,0
2022/6/16 5:00,17.6,1007.8,95,0.6,,0
2022/6/16 6:00,18.1,1008,93,0.5,10,0
2022/6/16 7:00,18.6,1008.3,91,0.6,,0
2022/6/16 8:00,19,1008.5,89,0.8,,0
2022/6/16 9:00,19.4,1008.4,87,1.1,10,0
2022/6/16 10:00,19.6,1008,88,0.9,,0
2022/6/16 11:00,20.5,1007.5,82,0.7,,0
2022/6/16 12:00,21.4,1007.2,79,1.2,10,0
2022/6/16 13:00,22.1,1006.7,75,1.3,,0
2022/6/16 14:00,23,1006.3,76,1.6,,0
2022/6/16 15:00,23,1006.5,77,2.3,10,0
2022/6/16 16:00,23,1006.1,79,2.9,,0
2022/6/16 17:00,22.8,1005.9,84,2.1,,0
2022/6/16 18:00,22.9,1005.6,82,1.1,10-,0
2022/6/16 19:00,21.9,1005.7,86,1.3,,0
2022/6/16 20:00,21.3,1005.8,87,2.7,,0
2022/6/16 21:00,21.7,1006.2,85,1.7,10-,0
2022/6/16 22:00,21.2,1006.4,91,1.7,,0
2022/6/16 23:00,20.5,1006.5,94,1.4,,0
2022/6/17 0:00,20.1,1006.2,96,1.6,,0
2022/6/17 1:00,19.7,1006,97,0.8,,0
2022/6/17 2:00,19.6,1005.7,99,0.6,,0
2022/6/17 3:00,19.7,1005.8,98,1.1,10-,0
2022/6/17 4:00,19.8,1005.8,95,1.7,,0
2022/6/17 5:00,19.3,1005.8,97,0.9,,0
2022/6/17 6:00,20.6,1005.8,93,1.1,10-,0
2022/6/17 7:00,21.2,1006,85,1.3,,0
2022/6/17 8:00,22.4,1006.3,82,1.9,,0
2022/6/17 9:00,23,1006.2,80,0.8,10,0
2022/6/17 10:00,23.3,1006.3,78,0.8,,0
2022/6/17 11:00,24.2,1006.3,75,1.1,,0
2022/6/17 12:00,25.1,1006.4,71,1.2,10,0
2022/6/17 13:00,25.8,1006,70,0.9,,0
2022/6/17 14:00,26.2,1005.7,67,1,,0
2022/6/17 15:00,27.1,1005.5,65,3.1,5,0
2022/6/17 16:00,26.8,1005.4,65,4.2,,0
2022/6/17 17:00,26.6,1005.4,66,3.1,,0
2022/6/17 18:00,25.7,1005.8,70,2.9,10-,0
2022/6/17 19:00,24.2,1006.4,77,1.7,,0
2022/6/17 20:00,22.2,1006.6,87,1.8,,0
2022/6/17 21:00,22.2,1007.2,88,2.2,10-,0
2022/6/17 22:00,21.2,1007.4,92,0.7,,0
2022/6/17 23:00,21.1,1007.6,95,1.7,,0
2022/6/18 0:00,20.9,1007.8,95,0.7,,0
2022/6/18 1:00,20.3,1007.9,97,1.3,,0
2022/6/18 2:00,20.2,1008.1,98,1.2,,0
2022/6/18 3:00,20.7,1008.1,94,1,9,0
2022/6/18 4:00,20.1,1008.4,98,0.3,,0
2022/6/18 5:00,20.1,1008.6,99,0.2,,0
2022/6/18 6:00,21.4,1008.7,95,1.4,10-,0
2022/6/18 7:00,22.5,1008.7,90,0.5,,0
2022/6/18 8:00,23.4,1009.1,84,0.7,,0
2022/6/18 9:00,24.1,1008.9,79,0.8,10,0
2022/6/18 10:00,24.6,1008.7,80,1.2,,0
2022/6/18 11:00,25.5,1008.4,78,1.9,,0
2022/6/18 12:00,24.8,1008.3,76,2.4,10,0
2022/6/18 13:00,25.1,1007.6,79,2.2,,0
2022/6/18 14:00,25.5,1007.1,78,2.9,,0
2022/6/18 15:00,25.3,1007.3,78,2.7,10,0
2022/6/18 16:00,24.8,1006.5,82,2.8,,0
2022/6/18 17:00,24.2,1006.4,84,2.5,,0
2022/6/18 18:00,23.3,1006.3,90,4.2,10,0
2022/6/18 19:00,22.4,1006.1,96,3.1,,0
2022/6/18 20:00,21.6,1006.5,99,1.8,,0.5
2022/6/18 21:00,21.5,1006.8,100,0.4,10,1.5
2022/6/18 22:00,21.4,1005.9,100,0.5,,0.5
2022/6/18 23:00,21.2,1005.7,100,1,,0
2022/6/19 0:00,20.6,1005.6,100,0.7,,0
2022/6/19 1:00,20.1,1005.4,100,0.2,,0
2022/6/19 2:00,19.7,1005.6,100,0.5,,0
2022/6/19 3:00,20,1005.7,100,1.7,0+,0
2022/6/19 4:00,19.8,1005.9,100,0.9,,0
2022/6/19 5:00,19.9,1006.6,100,0.7,,0
2022/6/19 6:00,20.8,1006.7,100,1.8,10-,0
2022/6/19 7:00,21.5,1007.2,100,1.1,,0
2022/6/19 8:00,23.7,1007.1,85,2,,0
2022/6/19 9:00,25.2,1006.8,79,1.3,8,0
2022/6/19 10:00,26.5,1006.5,71,2.6,,0
2022/6/19 11:00,27.1,1006.2,71,4.5,,0
2022/6/19 12:00,27.7,1005.7,72,3.8,10-,0
2022/6/19 13:00,27.5,1004.9,65,5.4,,0
2022/6/19 14:00,27.9,1004.2,66,4.3,,0
2022/6/19 15:00,28.3,1003.8,66,4.4,7,0
2022/6/19 16:00,26.9,1003.1,69,4.8,,0
2022/6/19 17:00,26.6,1003.1,70,4.3,,0
2022/6/19 18:00,25.2,1002.7,76,4.4,9,0
2022/6/19 19:00,23.8,1003.6,83,3.8,,0
2022/6/19 20:00,23.3,1003.5,88,2.9,,0
2022/6/19 21:00,23,1003.6,87,1.5,10-,0
2022/6/19 22:00,23.6,1003.7,82,2.6,,0
2022/6/19 23:00,23.8,1003.2,82,1.6,,0
2022/6/20 0:00,23,1003.3,86,2,,0
2022/6/20 1:00,23.1,1003.1,87,1.5,,0
2022/6/20 2:00,22.7,1002.6,89,2,,0
2022/6/20 3:00,22.3,1002.7,90,1.6,10,0
2022/6/20 4:00,21.6,1002.6,94,0.9,,0
2022/6/20 5:00,21.6,1002.8,95,1,,0
2022/6/20 6:00,22.4,1003.2,93,0.8,10,0
2022/6/20 7:00,24.4,1003.2,82,1.3,,0
2022/6/20 8:00,25.4,1003.2,80,1.8,,0
2022/6/20 9:00,26.6,1002.9,74,0.8,10,0
2022/6/20 10:00,27.3,1002.7,68,1.3,,0
2022/6/20 11:00,28.5,1002.4,62,2.2,,0
2022/6/20 12:00,29.4,1002,64,3.2,10,0
2022/6/20 13:00,28.9,1001.6,64,3.3,,0
2022/6/20 14:00,29.7,1001.1,67,4.2,,0
2022/6/20 15:00,28.2,1000.7,72,4.5,10-,0
2022/6/20 16:00,27.3,1000.7,73,3.4,,0
2022/6/20 17:00,26.8,1000.8,75,3.4,,0
2022/6/20 18:00,26.1,1001.1,77,3.3,10-,0
2022/6/20 19:00,24.6,1001.5,83,2.6,,0
2022/6/20 20:00,23.7,1001.6,88,1.9,,0
2022/6/20 21:00,23.5,1002.3,88,1.6,9,0
2022/6/20 22:00,23.1,1002.6,91,1.3,,0
2022/6/20 23:00,22.7,1002.4,94,1.3,,0
2022/6/21 0:00,22.4,1002.5,95,0.8,,0
2022/6/21 1:00,22.7,1002.5,94,1.5,,0
2022/6/21 2:00,22.8,1002.6,92,0.6,,0
2022/6/21 3:00,22.6,1003.1,95,1,6,0
2022/6/21 4:00,22.8,1003.6,90,2.1,,0
2022/6/21 5:00,22.8,1004.4,91,1.6,,0
2022/6/21 6:00,23.7,1004.8,88,1.7,10,0
2022/6/21 7:00,24.8,1005.1,82,1.8,,0
2022/6/21 8:00,25.4,1005.5,78,1.4,,0
2022/6/21 9:00,27.1,1005.7,71,1.2,10,0
2022/6/21 10:00,28.1,1005.4,68,1.3,,0
2022/6/21 11:00,29.3,1005.1,55,2.5,,0
2022/6/21 12:00,29.5,1004.6,54,1.9,10,0
2022/6/21 13:00,29.3,1004.7,54,1.4,,0
2022/6/21 14:00,28.4,1004.6,63,3,,0
2022/6/21 15:00,28.3,1004.8,62,4,10,0
2022/6/21 16:00,27.4,1004.6,68,5.6,,0
2022/6/21 17:00,26.5,1004.7,74,5.5,,0
2022/6/21 18:00,25.1,1005.7,85,3.9,10,0
2022/6/21 19:00,24.6,1006,85,3.3,,0
2022/6/21 20:00,23.7,1006.1,91,4.2,,0
2022/6/21 21:00,23,1006.5,95,3.2,10,0
2022/6/21 22:00,22.7,1006.6,96,2.6,,0.5
2022/6/21 23:00,22.4,1006.8,97,2.5,,0
2022/6/22 0:00,22.2,1006.4,97,1.3,,0
2022/6/22 1:00,21.8,1005.8,99,1.3,,1.5
2022/6/22 2:00,21.9,1005.1,100,2.2,,1
2022/6/22 3:00,21.8,1005.2,100,1.3,10,1.5
2022/6/22 4:00,22.1,1005.6,100,3,,0
2022/6/22 5:00,21.7,1005.7,98,4,,0.5
2022/6/22 6:00,21.5,1006.5,99,3.2,10,0
2022/6/22 7:00,21.7,1007.3,97,3.1,,0
2022/6/22 8:00,22.2,1007.3,94,2.1,,0
2022/6/22 9:00,24.3,1007,93,2.5,10,0
2022/6/22 10:00,23.9,1007,84,1.4,,0
2022/6/22 11:00,24.7,1007,80,1,,0
2022/6/22 12:00,26.9,1006.6,71,2.6,10-,0
2022/6/22 13:00,26.6,1006.5,72,2.6,,0
2022/6/22 14:00,27.4,1006.2,70,3,,0
2022/6/22 15:00,25.9,1006.4,74,4.1,10,0
2022/6/22 16:00,25.6,1006.7,75,3.7,,0
2022/6/22 17:00,25.2,1007,75,2.3,,0
2022/6/22 18:00,24.8,1007.4,80,3.4,10,0
2022/6/22 19:00,24.5,1007.8,82,2.8,,0
2022/6/22 20:00,24.1,1008.2,83,2.4,,0
2022/6/22 21:00,23.6,1008.5,86,2.4,10,0
2022/6/22 22:00,22.9,1009,88,2.5,,0
2022/6/22 23:00,22.6,1008.9,89,2.6,,0
2022/6/23 0:00,22.5,1008.7,90,1.9,,0
2022/6/23 1:00,21.9,1008.7,93,1.8,,0
2022/6/23 2:00,22.1,1008.6,93,1.9,,0
2022/6/23 3:00,21.8,1008.5,94,2.1,10,0
2022/6/23 4:00,21.7,1008.6,94,1.1,,0
2022/6/23 5:00,21.6,1008.8,94,1.8,,0
2022/6/23 6:00,21.9,1009.2,94,2.4,10,0
2022/6/23 7:00,22.2,1009.6,92,1.8,,0
2022/6/23 8:00,23.2,1009.7,87,2.4,,0
2022/6/23 9:00,23.8,1009.5,84,1.4,10,0
2022/6/23 10:00,24,1009.5,84,1.7,,0
2022/6/23 11:00,24.6,1009.3,87,1.5,,0
2022/6/23 12:00,25.4,1009,78,2,10-,0
2022/6/23 13:00,24.5,1008.6,83,1.3,,0
2022/6/23 14:00,24.9,1008.5,80,2.5,,0
2022/6/23 15:00,24.8,1008.3,81,2.9,10,0
2022/6/23 16:00,24.7,1008.5,81,4.3,,0
2022/6/23 17:00,24.3,1008.5,84,3.5,,0
2022/6/23 18:00,23.9,1008.5,84,3.4,10,0
2022/6/23 19:00,23.7,1008.8,85,3.1,,0
2022/6/23 20:00,23.8,1009,86,2.6,,0
2022/6/23 21:00,23.7,1009.4,88,2.7,10,0
2022/6/23 22:00,23.7,1009,89,3.6,,0
2022/6/23 23:00,23.6,1008.5,87,2.1,,0
2022/6/24 0:00,23.5,1007.7,85,2.2,,0
2022/6/24 1:00,23.3,1007.4,88,3,,0
2022/6/24 2:00,23.2,1006.7,91,3.7,,0
2022/6/24 3:00,23.2,1005.9,93,3.5,10-,0
2022/6/24 4:00,23.2,1005.8,92,4.5,,0
2022/6/24 5:00,23.5,1005.5,91,2.4,,0
2022/6/24 6:00,24,1005.1,92,2.5,10,0
2022/6/24 7:00,25.1,1004.5,91,4.2,,0
2022/6/24 8:00,27.1,1004.1,81,4.2,,0
2022/6/24 9:00,29.7,1003.6,69,6.8,10-,0
2022/6/24 10:00,29.5,1002.8,69,7.5,,0
2022/6/24 11:00,30,1002.5,66,6.5,,0
2022/6/24 12:00,31.1,1002.2,60,9,10-,0
2022/6/24 13:00,31.7,1000.9,60,7,,0
2022/6/24 14:00,32,1000.5,57,6.2,,0
2022/6/24 15:00,30.8,999.9,60,6.3,6,0
2022/6/24 16:00,30.9,999.9,59,5.1,,0
2022/6/24 17:00,29.6,999.5,64,8,,0
2022/6/24 18:00,28.5,999.7,69,7.7,9,0
2022/6/24 19:00,28.2,1000.2,69,7.5,,0
2022/6/24 20:00,27.7,1000.8,72,6.3,,0
2022/6/24 21:00,27,1000.8,76,4.9,3,0
2022/6/24 22:00,27.3,1000.7,74,6,,0
2022/6/24 23:00,26.8,1000.8,76,6.1,,0
2022/6/25 0:00,26.7,1000.5,78,6.7,,0
2022/6/25 1:00,26.5,1000.5,79,8.2,,0
2022/6/25 2:00,26.4,1000.1,80,8,,0
2022/6/25 3:00,26.6,1000.4,79,7.1,0,0
2022/6/25 4:00,26.2,1001,82,6.7,,0
2022/6/25 5:00,26.1,1001.7,82,5.8,,0
2022/6/25 6:00,27,1002.4,79,4.4,0+,0
2022/6/25 7:00,29,1002.9,72,3.7,,0
2022/6/25 8:00,30.3,1003.2,65,4.2,,0
2022/6/25 9:00,31.5,1003.3,59,3.7,0+,0
2022/6/25 10:00,32.7,1003.4,58,5.6,,0
2022/6/25 11:00,33.3,1003.2,53,7.5,,0
2022/6/25 12:00,34.8,1002.7,51,5.8,0+,0
2022/6/25 13:00,34.5,1002.3,51,7.2,,0
2022/6/25 14:00,34.9,1002.3,49,6.2,,0
2022/6/25 15:00,34.3,1002.1,52,6.5,0+,0
2022/6/25 16:00,33.3,1002.4,55,5.7,,0
2022/6/25 17:00,32,1003,60,5.6,,0
2022/6/25 18:00,30.6,1003.7,64,4.9,3,0
2022/6/25 19:00,29.6,1004.7,70,4.8,,0
2022/6/25 20:00,29.3,1005.7,71,4.2,,0
2022/6/25 21:00,28.8,1006.5,71,3.7,3,0
2022/6/25 22:00,28.5,1007.5,73,4.3,,0
2022/6/25 23:00,27.4,1007.6,77,4.2,,0
2022/6/26 0:00,26.4,1007.8,80,3.9,,0
2022/6/26 1:00,26.7,1007.6,76,4.5,,0
2022/6/26 2:00,26.4,1007.7,74,4.7,,0
2022/6/26 3:00,26.8,1008,68,5.2,1,0
2022/6/26 4:00,26.2,1008.9,68,2.6,,0
2022/6/26 5:00,26.3,1009.7,66,2.1,,0
2022/6/26 6:00,26.8,1010,67,1.4,5,0
2022/6/26 7:00,28.9,1009.8,58,2.3,,0
2022/6/26 8:00,31,1010,52,3.1,,0
2022/6/26 9:00,32.6,1010,48,5,3,0
2022/6/26 10:00,33.5,1010.5,47,5.7,,0
2022/6/26 11:00,34.1,1010.1,44,5.6,,0
2022/6/26 12:00,35,1009,45,4.6,5,0
2022/6/26 13:00,35.3,1008.6,47,6.4,,0
2022/6/26 14:00,34.3,1008.3,43,5.7,,0
2022/6/26 15:00,30.9,1007.9,58,6.9,5,0
2022/6/26 16:00,30.2,1008.2,61,4.9,,0
2022/6/26 17:00,30.7,1008.4,58,1.6,,0
2022/6/26 18:00,30.7,1008.7,58,3.7,2,0
2022/6/26 19:00,29.6,1009,60,3.2,,0
2022/6/26 20:00,28.8,1009.6,62,3.1,,0
2022/6/26 21:00,27.2,1010,73,3.6,0,0
2022/6/26 22:00,27,1010.2,72,2.9,,0
2022/6/26 23:00,26.3,1010.3,73,2.4,,0
2022/6/27 0:00,25.8,1009.9,74,3.4,,0
2022/6/27 1:00,25,1009.6,76,2.2,,0
2022/6/27 2:00,25.2,1009.7,75,2.3,,0
2022/6/27 3:00,24.6,1010,78,1.2,0,0
2022/6/27 4:00,24.6,1010,78,1.8,,0
2022/6/27 5:00,24.6,1010.3,82,1.8,,0
2022/6/27 6:00,26.2,1010.6,80,1.5,4,0
2022/6/27 7:00,28.4,1010.6,71,1,,0
2022/6/27 8:00,30.1,1010.9,64,0.8,,0
2022/6/27 9:00,32.6,1010.6,51,1.8,4,0
2022/6/27 10:00,33.3,1010.2,58,3.3,,0
2022/6/27 11:00,33.1,1009.6,51,3.9,,0
2022/6/27 12:00,33.7,1009.3,49,4.1,9,0
2022/6/27 13:00,33.8,1008.8,48,3.8,,0
2022/6/27 14:00,34.6,1008.1,51,4.1,,0
2022/6/27 15:00,34.8,1008,42,2.3,8,0
2022/6/27 16:00,32.6,1007.9,57,3.1,,0
2022/6/27 17:00,32.1,1007.8,63,3.1,,0
2022/6/27 18:00,31.5,1007.9,63,2.6,10-,0
2022/6/27 19:00,29.4,1008.2,69,3.6,,0
2022/6/27 20:00,28.9,1009.1,72,1.7,,0
2022/6/27 21:00,28.5,1010.7,65,5,10-,0
2022/6/27 22:00,28.2,1010.2,66,2.1,,0
2022/6/27 23:00,26.1,1010.3,77,0.9,,0
2022/6/28 0:00,27.2,1010.2,71,2.8,,0
2022/6/28 1:00,26.2,1009.6,78,1.6,,0
2022/6/28 2:00,25.8,1009.3,81,1,,0
2022/6/28 3:00,25.1,1009.2,83,0.7,0+,0
2022/6/28 4:00,25.3,1009.5,83,1.8,,0
2022/6/28 5:00,25.4,1009.7,88,1.8,,0
2022/6/28 6:00,26.7,1009.9,79,0.9,3,0
2022/6/28 7:00,28.6,1009.7,72,0.8,,0
2022/6/28 8:00,29.8,1009.7,71,2.3,,0
2022/6/28 9:00,31.2,1009,67,1.9,1,0
2022/6/28 10:00,31.6,1009.1,60,3.3,,0
2022/6/28 11:00,33.1,1008.6,56,2.3,,0
2022/6/28 12:00,32.6,1008.2,57,4,0+,0
2022/6/28 13:00,34.3,1007.6,58,3.2,,0
2022/6/28 14:00,34,1006.8,51,3.1,,0
2022/6/28 15:00,34.2,1006.4,57,4.2,4,0
2022/6/28 16:00,32.6,1006,60,5.4,,0
2022/6/28 17:00,31.2,1005.9,65,4,,0
2022/6/28 18:00,29.7,1006.2,69,4.7,8,0
2022/6/28 19:00,29,1006.6,70,3.3,,0
2022/6/28 20:00,27.9,1006.8,73,2.5,,0
2022/6/28 21:00,27.6,1007.2,75,1.8,10-,0
2022/6/28 22:00,27.3,1007.2,77,2.9,,0
2022/6/28 23:00,26.3,1007.4,82,1.3,,0
2022/6/29 0:00,25.7,1007.1,85,1.3,,0
2022/6/29 1:00,25.8,1006.7,85,1.7,,0
