date,event,description
7月17日,東京の日,1868年（慶応4年）のこの日（旧暦、新暦では9月3日）、明治天皇の詔勅（しょうちょく）により「江戸」が「東京」に改称された。
7月18日,ネルソン・マンデラ国際デー,日付は、南アフリカ共和国の政治家で、反アパルトヘイト運動を主導したネルソン・マンデラ（Nelson Mandela、1918～2013年）の誕生日に由来する。
7月19日,女性大臣の日,1960年（昭和35年）のこの日、第1次池田内閣に中山マサ（なかやま まさ、1891～1976年）が厚生大臣として入閣し、日本初の女性大臣が誕生した。
7月20日,月面着陸の日,1969年（昭和44年）のこの日、7月16日に打ち上げられたアメリカ有人宇宙飛行船「アポロ11号（Apollo 11）」が月面に着陸し、人類が初めて月面に降り立った。
7月21日,破防法公布記念日・公安調査庁設置記念日,1952年（昭和27年）のこの日、「破壊活動防止法（破防法）」が公布・施行され、同時に公安調査庁が設置された。「破防法」は、暴力主義的破壊活動を行う恐れのある団体に対する規制措置を定め、また、その活動に関する刑罰規定を補正した法律である。
7月22日,ONE PIECEの日,日付は漫画『ONE PIECE』の連載開始日である1997年（平成9年）7月22日にちなむ。
7月23日,日本最高気温の日(熊谷市),2018年（平成30年）7月23日に埼玉県熊谷市で41.1℃を観測
7月24日,ドローンサッカーの日,日付は日本初の国際基準サイズを満たしたドローンサッカー場「ADEドローンサッカーアリーナ」が2020年（令和2年）7月24日に大分県別府市にオープンし、東京・大分・熊本のチームが試合を行ったことから。
7月25日,味の素の日,1908年（明治41年）のこの日、化学者であり東京帝国理科大学（現：東京大学理学部）の教授であった池田菊苗博士が、「グルタミン酸塩を主成分とせる調味料製造法」の特許を取得した。
7月26日,日光の日,820年（弘仁11年）のこの日、弘法大師が日光山を命名した。元々は「二荒山ふたらさん」と呼ばれていたが、二荒山に登った弘法大師（空海）がその景色に感動し、「二荒」を「にこう」と音読みし「日光山にっこうさん」と命名したといわれている。
7月27日,スイカの日,日付はスイカの縞模様を綱に見立てて、「な（7）つのつ（2）な（7）」（夏の綱）と読む語呂合わせから。
7月28日,シュタゲの日,日付は「シュタインズ・ゲート」の物語が始まる7月28日を記念日としたもの。
7月29日,白だしの日,日付は社名の「ひち（7）ふ（2）く（9）」（七福）と読む語呂合わせから。同社では白だしを1978年（昭和53年）から販売している。
7月30日,国際フレンドシップ・デー,2011年（平成23年）7月の国連総会で制定。国際デーの一つ。英語表記は「International Day of Friendship」。
7月31日,ハリー・ポッターの誕生日,日付は、映画『ハリー・ポッター』シリーズで、主人公ハリー・ポッターの誕生日が1980年（昭和55年）7月31日の設定になっていることから。
8月1日,水の日,一年のうち水を最も使う月が8月であり、その月の最初の日を「水の日」としたもの
8月2日,金銀の日,1928年（昭和3年）のこの日、第9回オリンピック・アムステルダム大会で、陸上三段跳びの織田幹雄選手が日本初の金メダルを、陸上女子800メートルで人見絹枝選手が銀メダルを獲得するという快挙を成し遂げた
8月3日,はちみつの日,「はち（8）みつ（3）」と読む語呂合わせから。はちみつは約8割の糖分と約2割の水分によって構成され、ビタミンやアミノ酸、ミネラル類などの栄養素をわずかに含む
8月4日,箸の日,「は（8）し（4）」（箸）と読む語呂合わせから。「箸」を含む慣用表現として、箸が進む（美味しくてどんどん食べられる）、箸を付ける（食べ始める）などがある
8月5日,パソコン工房の日,「パ（8）ソコ（5）ン」と読む語呂合わせから。パソコン工房ならではの記念セールやキャンペーンを行われる
8月6日,太陽熱発電の日,1981年（昭和56年）のこの日、香川県三豊郡仁尾町（現：三豊市）の電源開発・仁尾太陽熱試験発電所で世界初の太陽熱発電が行われた。
8月7日,はなまるうどんの日,「はなまる」の「は（8）な（7）」と読む語呂合わせから。同社は2000年（平成12年）に讃岐うどんの本場の香川県高松市で創業。
8月8日,世界猫の日,英語表記は「International Cat Day」または「World Cat Day」。理由は不明だが日付は8月8日で、イエネコから野生のヤマネコまで、ネコの保護について考える日とされている。イギリスでは、｢ナショナル・キャット・アワード｣が開催され、その年で最も注目されたネコが表彰される。
8月9日,セルフハグでもっと自分のことを好きになる日,日付は「ハ（8）グ（9）」と読む語呂合わせから。自分を抱きしめて（セルフハグ）もっと自分を好きになってほしいとの願いが込められている。
8月10日,世界ライオンの日,食物連鎖の頂点に立っているライオンが、密かに絶滅の危機にさらされていることをより多くの人に知ってもらい、ライオンの保護を喚起することが目的。
8月11日,山の日,国民の祝日に「海の日」（7月第3月曜日）があるなら「山の日」も、ということで制定。8月11日という日付に特に意味はなく、山に関する特別な出来事などが由来ではない。
8月12日,君が代記念日,1893年（明治26年）のこの日、文部省が訓令「小学校儀式唱歌用歌詞並楽譜」を布告し、小学校の祝日・大祭日の唱歌に『君が代』『一月一日』『紀元節』など8曲が定められた。この時はまだ国歌ではなく正式に国歌になったのは1999年（平成11年）8月13日。
8月13日,怪談の日,「MYSTERY NIGHT TOUR 稲川淳二の怪談ナイト」20周年連続公演を記念して記念日とした。
8月14日,専売特許の日,1885年（明治18年）のこの日、日本初の専売特許が交付された。
8月15日,すいとんで平和を学ぶ日,日付は1945年（昭和20年）8月15日の「終戦の日」は現在まで続く平和の始まりの日でもあるとして、平和を学ぶのにふさわしい日との思いから。子ども達に戦争や原爆の愚かさや悲惨さについて語り、戦時の代用食とされた「すいとん」を食べながら食糧難のことなどを話して平和の尊さを伝える。
8月16日,電子コミックの日,電子コミックサイトのサービス開始10周年を記念して記念日とし、日付はサービスを開始した2004年（平成16年）8月16日から。
8月17日,日本最高気温の日（浜松市）,この日浜松で部活の1日練習があり私も参加していたのですが、熱中症になったので皆さんは熱中症対策はしっかりしましょう。
8月18日,高校野球記念日,1915年（大正4年）のこの日、大阪府の豊中球場（豊中グラウンド）で第1回「全国中等学校優勝野球大会」が開会した。
8月19日,世界写真の日,英語表記は「World Photography Day」または「World Photo Day」。2009年（平成21年）にフランス政府が制定したとの情報や非公式に制定された記念日との情報がある。
8月20日,NHK創立記念日,1926年（大正15年）のこの日、東京・大阪・名古屋の放送局が合同して、社団法人日本放送協会（NHK）が設立された。
8月21日,女子大生の日,1913年（大正2年）8月21日、東北帝国大学（現：東北大学）が女子受験生3人の合格を発表し、日本初の女子大生が誕生した。
8月22日,チンチン電車の日,1903年（明治36年）のこの日、東京電車鉄道の路面電車が新橋～品川で営業を開始し、東京で初めて路面電車（チンチン電車）が走った。
8月23日,奴隷貿易とその廃止を記念する国際デー,1998年（平成10年）に国連教育科学文化機関（UNESCO、ユネスコ）が制定。国際デーの一つ。英語表記は「International Day for the Remembrance of the Slave Trade and its Abolition」。
8月24日,ポンペイ最後の日,西暦79年のこの日、イタリアのヴェスビアス火山が突然噴火し、麓のローマ帝国の町ポンペイの市街が約8メートルの火山灰により埋没した。
8月25日,即席ラーメン記念日,1958年（昭和33年）のこの日、世界初の即席ラーメンである「チキンラーメン」が日清食品株式会社より発売された。
8月26日,レインボーブリッジ開通記念日,1993年（平成5年）のこの日、東京で東日本最大のつり橋「レインボーブリッジ」が開通した。正式名称は「東京港連絡橋」である。
8月27日,日本に原子の火がともった日,1957年（昭和32年）のこの日午前5時23分、茨城県・東海村の日本原子力研究所に設置された出力50kWのウォーターボイラー型炉1号（JRR-1）が、臨界実験に成功して日本最初の「原子の火」がともった。
8月28日,民放テレビスタートの日,1953年（昭和28年）8月28日午前11時20分、日本テレビ（JOAX-TV）が民間放送として初のテレビ放送を正式に開始した。また、この日は日本初のテレビCMが放送された日でもある。
8月29日,文化財保護法施行記念日,1950年（昭和25年）のこの日、国宝・重要文化財などを保護・活用するための基本となる法律「文化財保護法」が施行された。
8月30日,ハッピーサンシャインデー,日付は「ハッピー（8）サンシャイン（30）」と読む語呂合わせから。太陽のような明るい笑顔の人のための日。この日に生まれた人は笑顔の素敵な人が多いことから生まれた記念日。また、明るい笑顔で過ごせばハッピーな気分になれる日。
8月31日,宿題の日（学べる喜びに気づく日,「全ての子供たちに教育の機会を提供する」ために世界中で活動をしているイギリスのチャリティー団体「A World At School」が、「#UpForSchool」キャンペーンの一環で制定。
9月1日,民放ラジオ放送開始記念日,1951年（昭和26年）のこの日、名古屋の中部日本放送（現：CBCラジオ）と大阪の新日本放送（現：毎日放送）が日本初の民放ラジオとして放送を開始した。
9月2日,宝くじの日,日付は「く（9）じ（2）」と読む語呂合わせから。当選しても引き換えられず時効となってしまう宝くじが多いことから、時効防止をPRすることが目的。
9月3日,ドラえもんの誕生日,漫画家の藤子・F・不二雄の代表作「ドラえもん」は、22世紀から20世紀にタイムマシンでやってきたネコ型のロボットで、誕生日は2112年9月3日との設定になっている。
9月4日,東京ディズニーシー開園記念日,2001年（平成13年）9月4日（火）、千葉県浦安市舞浜に東京ディズニーシー（Tokyo DisneySea：TDS）が開園した。
9月5日,球根で求婚記念日,日付は「きゅう（9）こん（5）」（球根・求婚）と読む語呂合わせから。女性から男性へ恋を打ち明ける「バレンタインデー」とは逆に、男性から女性へ求婚（プロポーズ）をするきっかけ作りとして、この日に球根をプレゼントして欲しいとの願いが込められている。
9月6日,妹の日,日付は妹の可憐さを象徴する乙女座（8月23日～9月23日）の中間の日の前日で、占星学の上で最もふさわしい日とのことで9月6日となった。
9月7日,CMソングの日,1951年（昭和26年）のこの日、初めてCMソングを使ったラジオCMが中部日本放送（CBC）・新日本放送（NJB）でオンエアされた。
9月8日,「明治」改元の日,1867年（慶応3年）1月9日に践祚（せんそ；天皇の地位を受け継ぐこと）した睦仁（むつひと）親王が1868年（慶応4年／明治元年）8月27日に即位式をあげ、この日に「明治」と改元された。
9月9日,カーネルズ・デー,日付はケンタッキーフライドチキンの創業者であるカーネル・サンダースの誕生日の1890年（明治23年）9月9日にちなむ。
9月10日,カラーテレビ放送記念日,1960年（昭和35年）のこの日、東京・大阪でNHK・日本テレビ・ラジオ東京テレビ（現：TBS）・朝日放送・読売テレビの5局がカラーテレビの本放送を開始した。
9月11日,警察相談の日,日付は警察への電話相談番号「#9110」から。
9月12日,マラソンの日,紀元前450年のこの日、ペルシャの大軍がアテネを襲いマラトンに上陸したのをアテネの名将ミルティアデスの奇策でこれを撃退し、フェイディピデスという兵士が伝令となってアテネの城門まで走りついてアテネの勝利を告げたまま絶命したと言われている。
9月13日,鳥取県民の日,1881年（明治14年）のこの日、1876年（明治9年）に島根県に編入されて消滅した鳥取県が、島根県から分離して鳥取県が再び設置され、現在の鳥取県が誕生した。
9月14日,セプテンバーバレンタイン,3月14日の「ホワイトデー」から半年後で、女性から別れを切り出す日。TBSラジオの深夜番組『パック・イン・ミュージック』が発祥で、紫色の物を身に付け、白いマニキュアを塗り、緑のインクで書いた別れの手紙を直接手渡すという。
9月15日,関ケ原合戦の日,日付は「関ケ原合戦」が始まった慶長5年9月15日（西暦1600年10月21日）から。安土桃山時代に東軍と西軍に分かれて行われた大規模な合戦で、「天下分け目の戦い」としてその後の日本の行く末を決定した「関ケ原の戦い」。
9月16日,競馬の日・日本中央競馬会発足記念日,1954年（昭和29年）のこの日、日本中央競馬会（Japan Racing Association：JRA）が農林省（現：農林水産省）の監督の下で発足した。これにより民営競馬がスタートした。それまでは、農林省蓄産部が運営する国営競馬だった。
9月17日,モノレール開業記念日,東京オリンピックが開催された1964年（昭和39年）のこの日、浜松町～羽田空港間の「東京モノレール」（東京モノレール羽田線）が開業した。全長13.1km、約15分で運賃は大人250円・小児130円。日本初の旅客用モノレールだった
9月18日,世界で初めて組織的に視覚障害者教育が始まった日,江戸時代の全盲の鍼灸師・杉山和一（すぎやま わいち、1610～1694年）検校（けんぎょう：役職名）は、無痛で正確に鍼（はり）を刺すことができる画期的な治療法「管鍼術（かんしんじゅつ）」を考案、視覚障害者に技術を伝えるため私塾を開いた。
9月19日,苗字の日,1870年（明治3年）のこの日、戸籍整理のため、「平民苗字許可令」という太政官布告により平民も苗字を名乗ることが許された。それまでは苗字を名乗るのは貴族と武士の特権だった。しかし、許可令が出されても、読み書きが不得手の人が多く、また、当時国民は明治新政府を信用しておらず、苗字を付けたらそれだけ税金を課せられるのではないかと警戒し、なかなか広まらなかった。
9月20日,国産ロケット初打ち上げの日,1957年（昭和32年）のこの日、秋田県道川海岸のロケットセンターから国産ロケットが初めて打ち上げられ、実験が成功した。
9月21日,ファッションショーの日,1927年（昭和2年）のこの日、東京・銀座の三越呉服店で日本初のファッションショーが行われた。
9月22日,世界の日,世界自然保護基金（World Wide Fund for Nature：WWF）の南アフリカ委員会により2010年（平成22年）に提唱された。世界にはクロサイ、シロサイ、インドサイ、ジャワサイ、スマトラサイの5種が生息する。これらの野生のサイは角を目当てにした密猟や、生息地の減少などにより絶滅の危機に瀕している。その危機的な現状を世界中に訴え、サイの保護をアピールすることが目的。
9月23日,海王星の日,1846年のこの日、ドイツ・ベルリン天文台のヨハン・ガレ（Johann Galle、1812～1910年）が望遠鏡を用いて「海王星」を発見した。
9月24日,みどりの窓口,1965年（昭和40年）のこの日、国鉄（現：JR）の全国約150の駅に、コンピュータを使った指定券発売窓口「みどりの窓口」が設置された。
9月25日,10円カレーの日,"東京・日比谷公園の開園と同時にオープンした日比谷公園内にある洋風レストラン「松本楼」が1983年（昭和58年）に命名。松本楼が1971年（昭和46年）に焼失し、1973年（昭和48年）のこの日に再建、新装開店したことを記念して「10円カレー」が提供された。通常は880円（2015年時点）のハイカラビーフカレーが、1973年以来毎年9月25日に、先着1,500名に限り10円で振る舞われている。"
9月26日,台風襲来の日,統計上、台風襲来の回数が多い日で、過去に大きな被害をもたらした台風が襲来している。
9月27日,Google創立記念日,Google（グーグル）は、1998年（平成10年）9月27日に非公開の会社として設立された。
9月28日,プライバシーデー,1964年（昭和39年）のこの日、日本で初めてプライバシーが争点となった裁判が行われ、裁判でプライバシー侵害を認められた日。
9月29日,招き猫の日,日付は「くる（9）ふ（2）く（9）」（来る福）と読む語呂合わせから。招き猫の魅力をアピールし、多くの人に福を招いてもらうことが目的。
9月30日,紅葉の見頃予想発表の日,気象庁が毎年「紅葉の見頃予想」を発表する日。世界の60数ヵ国で生物の季節観測をしているが、紅葉や桜の開花を予想する国はほとんどない。紅葉の予想は四季に恵まれた日本ならではの予測と言える。
10月1日,東海道新幹線開業記念日,1964年（昭和39年）のこの日、東京駅～新大阪駅間を結ぶ東海道新幹線が開業した。この年の10月10日に開幕した東京オリンピックに合わせて東海道本線の輸送力が強化された。東京～新大阪間を「ひかり」4時間、「こだま」5時間で運行した。
10月2日,関越自動車道全通記念日,1985年（昭和60年）のこの日、関越トンネルが開通し、東京～新潟の関越自動車道が全線開通した。
10月3日,アンパンマンの日,日付はテレビアニメ「それいけ！アンパンマン」が日本テレビ系列で放送を開始した1988年（昭和63年）10月3日から。当初は2クール（半年）・全24話で終了する予定だったが、予想以上の人気で放送期間の延長が決まり、その後、長寿番組として定着した。
10月4日,宇宙開発記念日,1957年（昭和32年）のこの日、ソ連が人類初の人工衛星「スプートニク1号」の打ち上げに成功した。これによりアメリカとソ連の宇宙開発競争が始まった。
10月5日,時刻表記念日,1894年（明治27年）のこの日、庚寅新誌社（こういんしんししゃ）が日本初の本格的な時刻表『汽車汽船旅行案内』を出版した。恩師の福沢諭吉の勧めにより手塚猛昌（てづか たけまさ、1853～1932年）がイギリスの時刻表を参考にして発行したものである。発車時刻や運賃のほか、沿線の案内や紀行文なども掲載されていた。
10月6日,国際協力の日,1954年（昭和29年）のこの日、日本が初めて国際協力の援助国として、国際組織「コロンボ・プラン」（Colombo Plan）に加盟した。翌1955年（昭和30年）から研修員の受入れや専門家の派遣などの技術協力を開始した。
10月7日,バーコードの日,1952年（昭和27年）のこの日、アメリカで「バーコード」の特許が認められた。バーコードを発明したのは、1949年（昭和24年）、アメリカ・ペンシルベニア州のドレクセル大学の大学院生であった、バーナード・シルバーとノーマン・ジョセフ・ウッドランドだった。その後、1967年（昭和42年）、アメリカの食品チェーン店が、レジスターの行列を解消させる方策として実用化した。
10月8日,コンビニATMの日,日付は1999年（平成11年）のこの日、イーネットが日本で初めてコンビニエンスストアに銀行の共同ATMを設置したことから。
10月9日,サイコロキャラメルの日,日付は「明治サイコロキャラメル」が初めて発売された1927年（昭和2年）10月9日から。長年にわたり愛されてきた「明治サイコロキャラメル」を北海道ブランドとして生まれ変わらせ、同社が製造・販売する「北海道サイコロキャラメル」をさらに多くの人に楽しく、おいしく味わってもらうことが目的。
10月10日,アイメイト・デー、盲導犬の日,1971年（昭和46年）のこの日、同協会が東京都から財団法人として認められた。アイメイトとは、目の不自由な方の目として働く盲導犬のこと。視覚障害者と盲導犬への理解を深めてもらうことが目的。
10月11日,ウィンクの日,日付は「10」と「11」を横に倒して見ると、ウィンクをしているように見えることから。この日にウィンクすると想いを寄せている人に気持ちが伝わるという。
10月12日,ネット銀行の日,日付は、株式会社ジャパンネット銀行が2000年（平成12年）10月12日に日本初の「インターネット専業銀行」として営業を開始したことから。
10月13日,コロンブス・デー,1492年10月12日、イタリアの探検家・航海者クリストファー・コロンブス（Christopher Columbus、1451年頃～1506年）が率いるスペイン船隊が新大陸アメリカに到達した。
10月14日,くまのプーさん原作デビューの日,日付は世界中で愛されている『くまのプーさん』（Winnie-the-Pooh）の原作が発売された日である1926年（大正15年）10月14日から。プーさんとゆかいな仲間達が楽しく暮らす「100エーカーの森」にちなみ、環境・森林保護を考える日としている。
10月15日,グレゴリオ暦制定記念日,1582年のこの日、ローマ教皇グレゴリウス13世（1502～1585）がユリウス暦に代わってグレゴリオ暦を導入した。ユリウス暦は古代ローマ皇帝ユリウス・カエサル（110BC～44BC）が定めた暦で、1年を365.4日と計算して4年ごとに閏年と設けた。しかし、これでは1年が11分14秒長くなって128年に1日の誤差が出て、16世紀にはその差が10日以上となっていた。そこでグレゴリオ暦を導入し、1582年10月4日の翌日を10日間飛ばして10月15日として誤差の修正を行った。さらに「100で割り切れる年で400で割り切れない年は閏年としない」ということにした。
10月16日,世界食料デー,国際連合食糧農業機関（Food and Agriculture Organization：FAO）が1981年（昭和56年）に制定。国際デーの一つ。英語表記は「World Food Day」。1945年（昭和20年）のこの日、FAOが設立された。開発途上国における飢餓や貧困について考え、世界の食料生産と分配の改善と生活向上を通して、これらを克服することが目的。
10月17日,オンラインゲームの日,1997年（平成9年）のこの日、日本初の月額課金制・多人数同時参加型のオンラインRPG『ウルティマ オンライン』（Ultima Online：UO、英語版）が発売された。
10月18日,デドバの日,日付はファンの間では「デッド バイ デイライト」を略して「デドバ」と呼ぶことから10・10・8で「デ（10）ド（10）バ（8）」と読む語呂合わせで10月18日としたもの。
10月19日,ブラックマンデー,1987年（昭和62年）のこの日（月曜日）、ニューヨーク株式相場が大暴落した。その曜日から「ブラックマンデー」（Black Monday：暗黒の月曜日）と呼ばれる。
10月20日,ゴースト血管対策の日,日付は毛細血管の長さが10万kmあることから10月、Tie2の2と血流の循環を意味する0を合わせて20日で、10月20日を記念日としたもの。Tie2とは、毛細血管を強くする役割を担う血管内皮細胞に存在する受容体。加齢やストレスなどでTie2の働きが弱くなると、血流が途絶えて血管がゴースト化する。それは免疫力低下や内臓不調など、体に様々な支障をきたす原因となる。
10月21日,早稲田大学開校記念日,1882年（明治15年）のこの日、政治家・大隈重信（おおくま しげのぶ、1838～1922年）により東京・牛込に早稲田大学の前身である「東京専門学校」が設立された。その後、1902年（明治35年）に「早稲田大学」と改称され、1920年（大正9年）2月5日に大学令に基づく大学となった。これにより慶應義塾大学と共に日本で最初の私立大学となった。
10月22日,アニメの日,日付は日本最初のカラー長編アニメーション映画『白蛇伝』（はくじゃでん）が公開された1958年（昭和33年）10月22日から。
10月23日,モルの日,主として北米の化学者たちが、10月23日の午前6時02分から午後6時02分までを、物質量の単位である「モル」を記念する日としている。英語表記は「Mole Day」。1モル（mol）は6.02×10の23乗個（アボガドロ定数）の粒子（原子・分子・イオンなど）からなる物質に含まれる物質量と定義されており、この6.02×10の23乗という数字を「6:02 10/23」に当てはめて「モルの日」としている。
10月24日,暗黒の木曜日,1929年（昭和4年）のこの日（木曜日）、ニューヨーク・ウォール街の株式取引所で株価が大暴落し、「世界恐慌」のきっかけとなった。
10月25日,民間航空記念日,1951年（昭和26年）のこの日、戦後初の国内民間航空会社として設立された日本航空が、1番機の「ど星号」または「もく星号」で東京～大阪～福岡間の運航を開始した。第二次世界大戦で敗北した日本は、連合国より軍民問わず、航空機を運用することを禁止されていた。当時は模型飛行機でさえ飛ばしてはいけなかったという。そして、この日にようやく民間旅客機の定期路線が就航した。
10月26日,柿の日,日付は、1895年（明治28年）のこの日、俳人・正岡子規（まさおか しき、1867～1902年）が奈良旅行に出発し、「柿食へば鐘が鳴るなり法隆寺」の句を詠んだとされることから。また､地域によって違うが柿の旬の中心的な時期にあたることもその理由の一つ。
10月27日,世界新記録の日,1931年（昭和6年）のこの日、神宮競技場で行われた第6回明治神宮体育大会で、日本初の世界新記録（南部忠平の走り幅跳び7m98、織田幹雄の三段跳び15m58）が誕生した。
10月28日,群馬県民の日,1871年（明治4年）10月28日（旧暦）、廃藩置県により「群馬県」という名称が初めて使われた。郷土の歴史を知り、郷土についての理解と関心を深め、自治の意識を高めるとともに、より豊かな郷土を築き上げることを期する日。
10月29日,インターネット誕生日,1969年（昭和44年）10月29日、インターネットの元型である「ARPANET」（アーパネット）において初めて通信が行われた。同日22時30分、アメリカのカルフォルニア大学ロサンゼルス校からスタンフォード研究所（SRI）に接続し、最初のARPANETのリンクが確立した。そして、“LOGIN”の文字列を送信しようと試みた。“L”、“O”と一文字ずつ入力し、送信を確認した後、“G”と打ち込んだ所でシステムがクラッシュした。それでも、これが「インターネット」という革命の始まりだった。
10月30日,ニュースパニックデー・宇宙戦争の日,1938年（昭和13年）のこの日、アメリカのラジオ番組でオーソン・ウェルズ演出のSFドラマ『宇宙戦争』（The War of the Worlds）が放送された。演出として「火星人が攻めてきた」という臨時ニュースを流したところ、本物のニュースと勘違いされ、120万人以上が大パニックになった。驚いた一部のリスナーは警察・新聞社・ラジオ局に電話をかけた。
10月31日,ガスの記念日,1872年（明治5年）9月29日（新暦10月31日）、横浜の馬車道において日本で初めてガス灯が点灯された。この出来事に由来して、100周年を記念して記念日とした。
11月1日,「キティちゃん」の誕生日,「キティちゃん」が生まれたのが1974年（昭和49年）のこの日である。日本で生まれたキャラクターであり、主なプロフィールは以下の通り。生年月日：1974年11月1日、出身地：イギリス・ロンドン郊外、性別：女の子、身長：りんご5個分、体重：りんご3個分、血液型：A型、得意なこと：クッキー作り、好きな食べ物：ママの作ったアップルパイ。
11月2日,阪神タイガース記念日,1985年（昭和60年）のこの日、日本シリーズで21年ぶりのリーグ優勝をした阪神タイガースが西武ライオンズを破り、2リーグ化後初の日本一になった。日本シリーズMVPを獲得したのは、アメリカ人のランディ・バースだった。この年は全国で「トラ・フィーバー」の社会現象が起きた。
11月3日,ゴジラの日,1954年（昭和29年）のこの日、怪獣映画『ゴジラ』の第1作目が封切られた。これを記念したもので、世界的な怪獣映画として知られる「ゴジラ」の魅力をさらに多くの人に知ってもらうことが目的。この日はファンの間でも「ゴジラ」の誕生日とされている。
11月4日,ユネスコ憲章記念日,"1946年（昭和21年）のこの日、「国際連合教育科学文化機関憲章」（ユネスコ憲章）が発効し、ユネスコ（UNESCO）が発足した。「UNESCO」の名前は正式名称「United Nations Educational, Scientific and Cultural Organization」の頭文字に由来する。日本語では「国際連合教育科学文化機関」といい、国連の専門機関である。本部はフランスのパリにあり、教育・科学・文化の発展と推進を目的としている。"
11月5日,電報の日,"電報を申しこむ時の電話番号「115」から。電報とは、電信を用いた文書（「電文」という情報）の配達サービスである。郵便による信書より高速に通報することができる。一般に電話が普及するまでは、肉親の危篤などの緊急連絡手段に用いられていたが、携帯電話や電子メールの普及により、緊急連絡に用いられることは少なくなった。現在、電報の多くは冠婚葬祭での祝電や弔電用に使われている。
電報を申しこむ時の電話番号「115」から。電報とは、電信を用いた文書（「電文」という情報）の配達サービスである。郵便による信書より高速に通報することができる。"
11月6日,アパート記念日,1910年（明治43年）のこの日、東京・上野に日本初の木造アパートが完成した。詩人の西條八十（さいじょう やそ、1892～1970年）はここで童謡『かなりあ』を作詞したと言われている。
11月7日,ロシア革命記念日,1917年（大正6年）のこの日、ロシア十月革命でソビエト政権が樹立された。
11月8日,世界都市計画の日,アルゼンチンの都市計画学者カルロス・パオレーラ（Carlos Paolera、1890～1960年）教授が1949年（昭和24年）に提唱。世界都市計画機構の設立を目指したもの。また、住みやすい共同社会を実現する役割を確認し推進する日である。
11月9日,太陽暦採用記念日,1872年（明治5年）のこの日、明治政府が、それまでの太陽太陰暦（旧暦）をやめて太陽暦（新暦）を採用するという詔書を布告した。これにより明治5年12月2日の翌日を明治6年1月1日とすることになった。
11月10日,エレベーターの日,1890年（明治23年）のこの日、東京・浅草においてレンガ造り12階建ての「凌雲閣」に設置された日本初の電動式エレベーターが一般公開された。
11月11日,チーズの日,1890年（明治23年）のこの日、東京・浅草においてレンガ造り12階建ての「凌雲閣」に設置された日本初の電動式エレベーターが一般公開された。
